epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,38127.1,1.19086,0.84608,1.21014,0.69938,0.6589,0.72814,0.43367,1.50532,1.13306,1.46744,0.00139808,0.00139808,0.00139808
154,38362.6,1.20377,0.82911,1.20377,0.68578,0.69384,0.74101,0.42925,1.51563,1.12656,1.45145,0.00139412,0.00139412,0.00139412
155,38597.8,1.18266,0.81855,1.20022,0.72549,0.67221,0.7344,0.43163,1.49739,1.14763,1.42966,0.00139016,0.00139016,0.00139016
156,38834.5,1.17701,0.8141,1.18054,0.68299,0.67388,0.72984,0.42799,1.56348,1.15249,1.48811,0.0013862,0.0013862,0.0013862
157,39070.3,1.1584,0.81162,1.17454,0.72247,0.65405,0.74002,0.44072,1.49576,1.17739,1.44171,0.00138224,0.00138224,0.00138224
158,39308.6,1.16251,0.80572,1.17921,0.72149,0.67055,0.73789,0.43678,1.51329,1.14624,1.46947,0.00137828,0.00137828,0.00137828
159,39545.6,1.1715,0.8107,1.19537,0.73824,0.65724,0.72987,0.43555,1.51346,1.18037,1.45961,0.00137432,0.00137432,0.00137432
160,39781.6,1.16335,0.81364,1.18036,0.74007,0.66323,0.74384,0.43995,1.5125,1.12158,1.45732,0.00137036,0.00137036,0.00137036
161,40019.4,1.19568,0.86124,1.19129,0.6946,0.68874,0.73445,0.43859,1.48566,1.17833,1.42633,0.0013664,0.0013664,0.0013664
162,40257.1,1.16338,0.8054,1.17745,0.72422,0.67729,0.73199,0.44411,1.46806,1.16125,1.419,0.00136244,0.00136244,0.00136244
163,40494.2,1.15039,0.79885,1.17494,0.68237,0.6772,0.72111,0.43098,1.50625,1.16417,1.44777,0.00135848,0.00135848,0.00135848
164,40731.3,1.16064,0.79571,1.17169,0.75742,0.62063,0.734,0.43296,1.52887,1.18651,1.45964,0.00135452,0.00135452,0.00135452
165,40969.4,1.15213,0.79542,1.16608,0.71858,0.64393,0.72615,0.42642,1.54584,1.14725,1.49033,0.00135056,0.00135056,0.00135056
166,41208.4,1.15601,0.79239,1.16195,0.67626,0.66722,0.71579,0.40725,1.57434,1.18347,1.48818,0.0013466,0.0013466,0.0013466
167,41450,1.16728,0.8241,1.17812,0.67833,0.69052,0.72193,0.4272,1.5617,1.13647,1.47976,0.00134264,0.00134264,0.00134264
168,41688.9,1.17645,0.81096,1.18489,0.7073,0.65225,0.72347,0.42517,1.50685,1.155,1.44412,0.00133868,0.00133868,0.00133868
169,41928,1.16699,0.8135,1.17837,0.72048,0.66389,0.73208,0.43095,1.49205,1.13981,1.44048,0.00133472,0.00133472,0.00133472
170,42167.2,1.15937,0.78298,1.16726,0.74101,0.64226,0.72022,0.41368,1.51069,1.18652,1.45908,0.00133076,0.00133076,0.00133076
171,42407.4,1.15065,0.8116,1.18299,0.69382,0.69551,0.73953,0.42803,1.49494,1.14383,1.45323,0.0013268,0.0013268,0.0013268
172,42650.6,1.14447,0.79608,1.17281,0.7457,0.67821,0.74509,0.43195,1.51399,1.14182,1.45275,0.00132284,0.00132284,0.00132284
173,42891.7,1.16387,0.82333,1.18532,0.67188,0.69551,0.71757,0.42218,1.5231,1.18895,1.4673,0.00131888,0.00131888,0.00131888
174,43130.3,1.16952,0.80627,1.17405,0.70748,0.67887,0.73113,0.42423,1.5434,1.17417,1.47547,0.00131492,0.00131492,0.00131492
175,43372.2,1.124,0.77998,1.15786,0.7243,0.64257,0.72017,0.42098,1.53091,1.15047,1.46369,0.00131096,0.00131096,0.00131096
